team,identity,collection_before,collection_candidate,item_id_before,item_id_candidate,stable_key_before,stable_key_candidate,slug_before,slug_candidate_provisional,route_before,route_candidate_provisional,media_before_view,media_candidate_catalog,reason,et028_classification,status
america rn,paises/brasil/america rn/2013.htm#editorial:hx001:table-12:description-table-19,UNASSIGNED,UNASSIGNED,42395,46860,item:9b4c49171a6dd91fffffbe33095c987d72e2833fee941ca9d7190fe9b3c6d800,item:9b4c49171a6dd91fffffbe33095c987d72e2833fee941ca9d7190fe9b3c6d800,2013,2013,/items/brasil/teams/america-rn/items/2013,/items/brasil/teams/america-rn/items/2013,2,2,multiple/cross-team record references,OTHER,BLOCKED_CROSS_TEAM
america rn,paises/brasil/america rn/2017.htm#editorial:hx001:table-12:description-table-21,camisas/brasil/sport/07_17,UNASSIGNED,42396,46861,item:6b79521936e9147e14b77d7a383dc287da5e4fedc6cba90dbcf6c74cd2a6b102,item:c189a4783d8d470e59d7b48b8cfa4c7881408eb2bc817ff60f1a8ddd30367bc3,2017,2017,/items/brasil/teams/america-rn/collections/07-17/2017,/items/brasil/teams/america-rn/items/2017,3,3,multiple/cross-team record references,OTHER,BLOCKED_CROSS_TEAM
america_rj,paises/brasil/america_rj/1980.htm,camisas/brasil/america_rj/09_23,UNASSIGNED,42403,46868,item:a2558afbc192894726080a8afc242d2b5883c2cde448062795f312f09424abd1,item:6c431f08e4fbefb8678b83259843a027f8826342b3a33d774775ccd10300e25f,1980,1980,/items/brasil/teams/america-rj/collections/09-23/1980,/items/brasil/teams/america-rj/items/1980,3,3,multiple/cross-team record references,MIXED,BLOCKED_AMBIGUOUS
america_rj,paises/brasil/america_rj/1981.htm,camisas/brasil/america_rj/09_23,UNASSIGNED,42404,46869,item:d7287e32b677e48944f5e949e5c5f4f75b2f4f5857e0b91d70e9b997d4b473f3,item:d311f745ad87973105ec3d18b836c5ce1a7c0f18d6660dad0d5ebefa6d6eb751,1981,1981,/items/brasil/teams/america-rj/collections/09-23/1981,/items/brasil/teams/america-rj/items/1981,3,3,multiple/cross-team record references,MIXED,BLOCKED_AMBIGUOUS
atletico,paises/brasil/atletico/1970.htm,camisas/brasil/atletico/11_21_2,UNASSIGNED,42411,46876,item:1737bfff48cb070d00cd2c72b3e8ad51544539965da4bc6bb98a626cc4adcf74,item:10bf5b9668a3a9a06e3a77d084d17160e90c066f168b47528a1a72dc71de2b12,1970,1970,/items/brasil/teams/atletico/collections/11-21-2/1970,/items/brasil/teams/atletico/items/1970,6,6,multiple/cross-team record references,OTHER,BLOCKED_AMBIGUOUS
atletico,paises/brasil/atletico/1972.htm,camisas/brasil/atletico/01_16,UNASSIGNED,42413,46878,item:cda65e2f6fc7bf5626a845a967d824a909df8ca62d028043da05690673f67e22,item:fb4e7a8a50e5687b7c812e176264ba361e6fbbd5427acec0ea9d3d982950b7d9,1972,1972,/items/brasil/teams/atletico/collections/01-16/1972,/items/brasil/teams/atletico/items/1972,11,11,multiple/cross-team record references,MIXED,BLOCKED_AMBIGUOUS
atletico,paises/brasil/atletico/1973.htm,camisas/brasil/atletico/07_19,UNASSIGNED,42414,46879,item:b79364308a27dfd8cf83b1c471fc81a0ee07eebd97a0645614364f23fcbcd997,item:2a9dc626c79a14b4ed0cf99fa5a9deb257d59873a300efbc9ddb5086c267240f,1973,1973,/items/brasil/teams/atletico/collections/07-19/1973,/items/brasil/teams/atletico/items/1973,8,8,multiple/cross-team record references,OTHER,BLOCKED_AMBIGUOUS
atletico,paises/brasil/atletico/1975.htm,camisas/brasil/atletico/04_14,UNASSIGNED,42416,46881,item:7aa3824579eb6892d7d3cbc748a5f25618cf2119e7dd96259d9fdba1c799a1dc,item:a4adeee2098ee6db80eb507df617612ac39676b84368469556ff000cb7416821,1975,1975,/items/brasil/teams/atletico/collections/04-14/1975,/items/brasil/teams/atletico/items/1975,16,16,multiple/cross-team record references,MIXED,BLOCKED_AMBIGUOUS
atletico,paises/brasil/atletico/1976.htm,camisas/brasil/atletico/07_18,UNASSIGNED,42417,46882,item:9f6bc9ab4e433db8822871f19d3bb2f7f55f4db669da29316012957305b5c7b0,item:bc2f7a396f63d7a294b830fb15dfeee91ebd2209b6a6f09e3a4f0ddedd189af3,1976,1976,/items/brasil/teams/atletico/collections/07-18/1976,/items/brasil/teams/atletico/items/1976,17,17,multiple/cross-team record references,MIXED,BLOCKED_AMBIGUOUS
atletico,paises/brasil/atletico/1977.htm,camisas/brasil/atletico/10_12,UNASSIGNED,42418,46883,item:6d231b425c0f4f8389b790de2030162b198306d2aded4a8d30c5a90a2abed503,item:3d00d6d520ded5f63c53fb8aff8672e434d63a0639155bebb5a175a8c09d4a38,1977,1977,/items/brasil/teams/atletico/collections/10-12/1977,/items/brasil/teams/atletico/items/1977,24,24,multiple/cross-team record references,MIXED,BLOCKED_AMBIGUOUS
