item_id,identity,team_path,collection_before,collection_target,stable_key,item_slug,public_slug,route_before,route_target_provisional,reason,authorization_class
42423,paises/brasil/atletico/1979.htm#editorial:hx001:table-65:description-table-74,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/02_17,item:172eec4933820cf41e20d20a1fe7a1e31689b3bc04b0004868151828fdc8962a,1979,1979-c542a1,/items/brasil/teams/atletico/collections/10-12/1979-c542a1,/items/brasil/teams/atletico/collections/02-17/1979-c542a1,unique record references,ET028_EXCLUSIVE
42425,paises/brasil/atletico/1979.htm#editorial:hx001:table-101:description-table-108,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/04_16,item:dfae688fcf5f60ccd5c6d50b85abab8329a07a5a91217f47afb1cec62a10758b,1979,1979-dd688f,/items/brasil/teams/atletico/collections/10-12/1979-dd688f,/items/brasil/teams/atletico/collections/04-16/1979-dd688f,unique record references,ET028_EXCLUSIVE
42432,paises/brasil/atletico/1981.htm#editorial:hx001:table-72:description-table-81,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/03_16,item:6229389ac8a3324113fc45181f5fbbda5bc10901f130927c52ce106653b10bbc,1981,1981-69a8ca,/items/brasil/teams/atletico/collections/10-12/1981-69a8ca,/items/brasil/teams/atletico/collections/03-16/1981-69a8ca,unique record references,ET028_EXCLUSIVE
42434,paises/brasil/atletico/1981.htm#editorial:hx001:table-110:description-table-117,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/01_20,item:acaeb7f72d351d02ceb9ee07a75d999b2029cd442563a495a076d5f805df4411,1981,1981-531786,/items/brasil/teams/atletico/collections/10-12/1981-531786,/items/brasil/teams/atletico/collections/01-20/1981-531786,unique record references,ET028_EXCLUSIVE
42439,paises/brasil/atletico/1981.htm#editorial:hx001:table-201:description-table-208,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/03_16,item:f5e11575189c31b49963eb35bf80335ebaea67d05ccba5fabd7ac6386509dcf0,1981,1981-f17278,/items/brasil/teams/atletico/collections/10-12/1981-f17278,/items/brasil/teams/atletico/collections/03-16/1981-f17278,unique record references,ET028_EXCLUSIVE
42443,paises/brasil/atletico/1982.htm#editorial:hx001:table-69:description-table-76,paises/brasil/atletico,camisas/brasil/atletico/11_21_2,camisas/brasil/atletico/11_17,item:7dadf5069e72854479ad8bbe0839794314c062517139b9c1e95ca459f457e78d,1982,1982-c97b2e,/items/brasil/teams/atletico/collections/11-21-2/1982-c97b2e,/items/brasil/teams/atletico/collections/11-17/1982-c97b2e,unique record references,ET028_EXCLUSIVE
42444,paises/brasil/atletico/1982.htm#editorial:hx001:table-86:description-table-93,paises/brasil/atletico,camisas/brasil/atletico/11_21_2,camisas/brasil/atletico/11_17,item:1fad2503a485ea0283b4691470940b45208a5f05de0a802d179eef6b48ca3145,1982,1982-1e302c,/items/brasil/teams/atletico/collections/11-21-2/1982-1e302c,/items/brasil/teams/atletico/collections/11-17/1982-1e302c,unique record references,ET028_EXCLUSIVE
42445,paises/brasil/atletico/1982.htm#editorial:hx001:table-103:description-table-110,paises/brasil/atletico,camisas/brasil/atletico/11_21_2,camisas/brasil/atletico/03_16,item:23f06ed48d14fdf05a8877e552b3081d4f906138b967d63d5f9a52c440defea0,1982,1982-6c0060,/items/brasil/teams/atletico/collections/11-21-2/1982-6c0060,/items/brasil/teams/atletico/collections/03-16/1982-6c0060,unique record references,ET028_EXCLUSIVE
42454,paises/brasil/atletico/1987.htm#editorial:hx001:table-64:description-table-71,paises/brasil/atletico,camisas/brasil/atletico/05_15,camisas/brasil/atletico/03_16,item:408cd735cea2038018275b2a1d6a1d48aac4a1f80cde5fde9b35272b1b8def75,1987,1987-47591c,/items/brasil/teams/atletico/collections/05-15/1987-47591c,/items/brasil/teams/atletico/collections/03-16/1987-47591c,unique record references,ET028_EXCLUSIVE
42455,paises/brasil/atletico/1987.htm#editorial:hx001:table-80:description-table-87,paises/brasil/atletico,camisas/brasil/atletico/05_15,camisas/brasil/atletico/03_16,item:4805c0bdbb3addcb0f6cac590bc8740eb191206cf297783702edaf7c5e445e25,1987,1987-723304,/items/brasil/teams/atletico/collections/05-15/1987-723304,/items/brasil/teams/atletico/collections/03-16/1987-723304,unique record references,ET028_EXCLUSIVE
