item_id,stable_key_before,stable_key_after,slug_before,slug_after,route_before,route_after,country_region,item_team_before,item_team_after,collection_team_before,collection_team_after,collection_before,collection_after,title,editorial_description,source_page,record_identity,resolved_reference_count,resolved_reference_roots,media_before,media_after,normalization_status,public_status_before,public_status_after,http_status,confirmed_preexisting,in_safe_698,et028_classification,et029b_status,in_extra_536,in_mixed_217,classification,risk,comparison,blocks_et029g,disposition
42396,item:6b79521936e9147e14b77d7a383dc287da5e4fedc6cba90dbcf6c74cd2a6b102,item:6b79521936e9147e14b77d7a383dc287da5e4fedc6cba90dbcf6c74cd2a6b102,2017,2017,/items/brasil/teams/america-rn/collections/07-17/2017,/items/brasil/teams/america-rn/collections/07-17/2017,brasil,paises/brasil/america rn,paises/brasil/america rn,paises/brasil/sport,paises/brasil/sport,camisas/brasil/sport/07_17,camisas/brasil/sport/07_17,2017,RAUL PRATA - CAMPEONATO PERNANBUCANO - ORIGINAL,paises/brasil/america rn/2017.htm,paises/brasil/america rn/2017.htm#editorial:hx001:table-12:description-table-21,3,camisas/brasil/sport,3,3,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_CROSS_TEAM,NO,NO,E ? SOURCE_PAGE_CROSS_TEAM,HIGH,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
43343,item:28578935e1394f233b564759aecc189a47f2406479d78f825287edb21cbcf2d6,item:28578935e1394f233b564759aecc189a47f2406479d78f825287edb21cbcf2d6,2017-aecac1,2017-aecac1,/items/brasil/teams/internaciol-limeira/collections/07-17/2017-aecac1,/items/brasil/teams/internaciol-limeira/collections/07-17/2017-aecac1,brasil,paises/brasil/internaciol limeira,paises/brasil/internaciol limeira,paises/brasil/sport,paises/brasil/sport,camisas/brasil/sport/07_17,camisas/brasil/sport/07_17,2017,RAUL PRATA - CAMPEONATO PERNANBUCANO - ORIGINAL,paises/brasil/internaciol limeira/2017.htm,paises/brasil/internaciol limeira/2017.htm#editorial:hx001:table-12:description-table-21,3,camisas/brasil/sport,3,3,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_CROSS_TEAM,NO,NO,E ? SOURCE_PAGE_CROSS_TEAM,HIGH,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
43397,item:9ae201ec41d85ea2bf6aa9aa7e07cd7aa71f805b5fb94c296bd16ec3f0715e87,item:9ae201ec41d85ea2bf6aa9aa7e07cd7aa71f805b5fb94c296bd16ec3f0715e87,2017-1478a8,2017-1478a8,/items/brasil/teams/mirassol/collections/07-17/2017-1478a8,/items/brasil/teams/mirassol/collections/07-17/2017-1478a8,brasil,paises/brasil/mirassol,paises/brasil/mirassol,paises/brasil/sport,paises/brasil/sport,camisas/brasil/sport/07_17,camisas/brasil/sport/07_17,2017,RAUL PRATA - CAMPEONATO PERNANBUCANO - ORIGINAL,paises/brasil/mirassol/2017.htm,paises/brasil/mirassol/2017.htm#editorial:hx001:table-12:description-table-21,3,camisas/brasil/sport,3,3,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_CROSS_TEAM,NO,NO,E ? SOURCE_PAGE_CROSS_TEAM,HIGH,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
43513,item:9fe0625f586844de8f262c1bce84c6640f34fb95c8fc42e6281e3d8474250d76,item:9fe0625f586844de8f262c1bce84c6640f34fb95c8fc42e6281e3d8474250d76,2017-6a7256,2017-6a7256,/items/brasil/teams/rio-claro/collections/07-17/2017-6a7256,/items/brasil/teams/rio-claro/collections/07-17/2017-6a7256,brasil,paises/brasil/rio claro,paises/brasil/rio claro,paises/brasil/sport,paises/brasil/sport,camisas/brasil/sport/07_17,camisas/brasil/sport/07_17,2017,RAUL PRATA - CAMPEONATO PERNANBUCANO - ORIGINAL,paises/brasil/rio claro/2017.htm,paises/brasil/rio claro/2017.htm#editorial:hx001:table-12:description-table-21,3,camisas/brasil/sport,3,3,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_CROSS_TEAM,NO,NO,E ? SOURCE_PAGE_CROSS_TEAM,HIGH,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
43971,item:3e0940fa1718e161f681915fa267268ece1cc261df52c165354c7b230eb59ced,item:3e0940fa1718e161f681915fa267268ece1cc261df52c165354c7b230eb59ced,1999-2000,1999-2000,/items/italia/teams/alzano-virescit/collections/08-16/1999-2000,/items/italia/teams/alzano-virescit/collections/08-16/1999-2000,italia,paises/italia/alzano virescit,paises/italia/alzano virescit,paises/italia/ternana,paises/italia/ternana,camisas/italia/ternana/08_16,camisas/italia/ternana/08_16,1999-2000,F. MICCOLI - CAMPIONATO ITALIANO - ORIGINALE,paises/italia/alzano virescit/9900.htm,paises/italia/alzano virescit/9900.htm#editorial:hx001:table-11:description-table-22,4,camisas/italia/ternana,4,4,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_CROSS_TEAM,NO,NO,E ? SOURCE_PAGE_CROSS_TEAM,HIGH,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
44917,item:767e3181a6c42444f12dbc117b3c5aa3667b489ce0b6398e8098fa304d12d439,item:767e3181a6c42444f12dbc117b3c5aa3667b489ce0b6398e8098fa304d12d439,1999-2000-4c5bc8,1999-2000-4c5bc8,/items/italia/teams/jrcasale/collections/08-16/1999-2000-4c5bc8,/items/italia/teams/jrcasale/collections/08-16/1999-2000-4c5bc8,italia,paises/italia/jrcasale,paises/italia/jrcasale,paises/italia/ternana,paises/italia/ternana,camisas/italia/ternana/08_16,camisas/italia/ternana/08_16,1999-2000,F. MICCOLI - CAMPIONATO ITALIANO - ORIGINALE,paises/italia/jrcasale/9900.htm,paises/italia/jrcasale/9900.htm#editorial:hx001:table-11:description-table-22,4,camisas/italia/ternana,4,4,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_CROSS_TEAM,NO,NO,E ? SOURCE_PAGE_CROSS_TEAM,HIGH,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
45567,item:a9714986d1ddf15a89f897a4abf97f5b5dc13719009d8463904042f9da1759a9,item:a9714986d1ddf15a89f897a4abf97f5b5dc13719009d8463904042f9da1759a9,1999-2000-b6fdca,1999-2000-b6fdca,/items/italia/teams/monza/collections/08-16/1999-2000-b6fdca,/items/italia/teams/monza/collections/08-16/1999-2000-b6fdca,italia,paises/italia/monza,paises/italia/monza,paises/italia/ternana,paises/italia/ternana,camisas/italia/ternana/08_16,camisas/italia/ternana/08_16,1999-2000,F. MICCOLI - CAMPIONATO ITALIANO - ORIGINALE,paises/italia/monza/9900.htm,paises/italia/monza/9900.htm#editorial:hx001:table-11:description-table-22,4,camisas/italia/ternana,4,4,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_CROSS_TEAM,NO,NO,E ? SOURCE_PAGE_CROSS_TEAM,HIGH,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
45774,item:34654ffbba76b467e6e892b52200f770d6ca19bd04f8027e63fcc8c457ba2cc1,item:34654ffbba76b467e6e892b52200f770d6ca19bd04f8027e63fcc8c457ba2cc1,1983-1984,1983-1984,/items/italia/teams/roma/collections/fot-gio/1983-1984,/items/italia/teams/roma/collections/fot-gio/1983-1984,italia,paises/italia/roma,paises/italia/roma,paises/italia/torino,paises/italia/torino,camisas/italia/torino/fot_gio,camisas/italia/torino/fot_gio,1983-1984,CAMPIONATO ITALIANO - NON PIÚ IN COLLEZIONE,paises/italia/roma/8384.htm,paises/italia/roma/8384.htm#editorial:hx001:table-11:description-table-20,3,camisas/italia/roma | camisas/italia/torino,3,3,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_CROSS_TEAM,NO,NO,F ? KNOWN_SPECIAL_CASE,MEDIUM,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
45775,item:3f624a6c5250645084a98b209c13eab46ba16b1c2c8bf4a84a7d454b37a4969d,item:3f624a6c5250645084a98b209c13eab46ba16b1c2c8bf4a84a7d454b37a4969d,1983-1984-77df46,1983-1984-77df46,/items/italia/teams/roma/collections/fot-gio/1983-1984-77df46,/items/italia/teams/roma/collections/fot-gio/1983-1984-77df46,italia,paises/italia/roma,paises/italia/roma,paises/italia/torino,paises/italia/torino,camisas/italia/torino/fot_gio,camisas/italia/torino/fot_gio,1983-1984,A. MALDERA - CAMPIONATO ITALIANO - ORIGINALE - NON PIÚ IN COLLEZIONE,paises/italia/roma/8384.htm,paises/italia/roma/8384.htm#editorial:hx001:table-39:description-table-48,3,camisas/italia/torino,3,3,unchanged,ready,ready,200,YES,NO,MIXED,BLOCKED_AMBIGUOUS,NO,YES,F ? KNOWN_SPECIAL_CASE,MEDIUM,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
45776,item:6ef616b39d438b8fc1def6c4e89041525e1d18bdebcf5ae025a739715bcd858a,item:6ef616b39d438b8fc1def6c4e89041525e1d18bdebcf5ae025a739715bcd858a,1983-1984-9047be,1983-1984-9047be,/items/italia/teams/roma/collections/fot-gio/1983-1984-9047be,/items/italia/teams/roma/collections/fot-gio/1983-1984-9047be,italia,paises/italia/roma,paises/italia/roma,paises/italia/torino,paises/italia/torino,camisas/italia/torino/fot_gio,camisas/italia/torino/fot_gio,1983-1984,AMICHEVOLE - PRÉ CAMPIONATO - ORIGINALE,paises/italia/roma/8384.htm,paises/italia/roma/8384.htm#editorial:hx001:table-66:description-table-75,3,camisas/italia/roma,3,3,unchanged,ready,ready,200,YES,NO,OTHER,BLOCKED_AMBIGUOUS,NO,NO,F ? KNOWN_SPECIAL_CASE,MEDIUM,UNCHANGED,NO,TECHNICAL_DEBT_AFTER_V1
