item_id,identity,team_path,collection_before,collection_after,stable_key_before,stable_key_after,applied
42423,paises/brasil/atletico/1979.htm#editorial:hx001:table-65:description-table-74,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/02_17,item:172eec4933820cf41e20d20a1fe7a1e31689b3bc04b0004868151828fdc8962a,item:0f4b0b33d595cdc6479609f15011aaea2f80581c729972305be9ddd5c7d30a46,TRUE
42425,paises/brasil/atletico/1979.htm#editorial:hx001:table-101:description-table-108,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/04_16,item:dfae688fcf5f60ccd5c6d50b85abab8329a07a5a91217f47afb1cec62a10758b,item:02ac60406c92173873d145e518439388f3e305aaa2832cf8ab37bf394fa2f736,TRUE
42432,paises/brasil/atletico/1981.htm#editorial:hx001:table-72:description-table-81,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/03_16,item:6229389ac8a3324113fc45181f5fbbda5bc10901f130927c52ce106653b10bbc,item:6c05e385d9a7eca42bf0fd8f1014aa235101119580a7092390be13ac83f4aeb6,TRUE
42434,paises/brasil/atletico/1981.htm#editorial:hx001:table-110:description-table-117,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/01_20,item:acaeb7f72d351d02ceb9ee07a75d999b2029cd442563a495a076d5f805df4411,item:e43087672d952ea151e403a806d0eded262b79099faee6314d8ec953c553a3d9,TRUE
42439,paises/brasil/atletico/1981.htm#editorial:hx001:table-201:description-table-208,paises/brasil/atletico,camisas/brasil/atletico/10_12,camisas/brasil/atletico/03_16,item:f5e11575189c31b49963eb35bf80335ebaea67d05ccba5fabd7ac6386509dcf0,item:9223671d6d2fe6c31c386e8f117fff60a07a1af62b90b4229f878e4fc945046b,TRUE
42443,paises/brasil/atletico/1982.htm#editorial:hx001:table-69:description-table-76,paises/brasil/atletico,camisas/brasil/atletico/11_21_2,camisas/brasil/atletico/11_17,item:7dadf5069e72854479ad8bbe0839794314c062517139b9c1e95ca459f457e78d,item:543993a43969166705ca2e2e5d5acc2cceea16ffb762df05aa8db6163e45104f,TRUE
42444,paises/brasil/atletico/1982.htm#editorial:hx001:table-86:description-table-93,paises/brasil/atletico,camisas/brasil/atletico/11_21_2,camisas/brasil/atletico/11_17,item:1fad2503a485ea0283b4691470940b45208a5f05de0a802d179eef6b48ca3145,item:83d93b9a29f2236bd7194494c419ee06c83276ccad3983b0b3f7b43a02bf0a3d,TRUE
42445,paises/brasil/atletico/1982.htm#editorial:hx001:table-103:description-table-110,paises/brasil/atletico,camisas/brasil/atletico/11_21_2,camisas/brasil/atletico/03_16,item:23f06ed48d14fdf05a8877e552b3081d4f906138b967d63d5f9a52c440defea0,item:d92759ba943f47fc60f536b8d0dcf96f735d0b2e024833307ccf7eb39b780556,TRUE
42454,paises/brasil/atletico/1987.htm#editorial:hx001:table-64:description-table-71,paises/brasil/atletico,camisas/brasil/atletico/05_15,camisas/brasil/atletico/03_16,item:408cd735cea2038018275b2a1d6a1d48aac4a1f80cde5fde9b35272b1b8def75,item:02f6e72ae6a283353b79d2a5cd07054cfbe8b4038b665ac90d7ad4b4128a2760,TRUE
42455,paises/brasil/atletico/1987.htm#editorial:hx001:table-80:description-table-87,paises/brasil/atletico,camisas/brasil/atletico/05_15,camisas/brasil/atletico/03_16,item:4805c0bdbb3addcb0f6cac590bc8740eb191206cf297783702edaf7c5e445e25,item:1134a7c63a197e860acbebcc34e0326dfc41256125f922a19640e149a785e556,TRUE
42469,paises/brasil/atletico/1994.htm#editorial:hx001:table-79:description-table-86,paises/brasil/atletico,camisas/brasil/atletico/10_09,camisas/brasil/atletico/07_13,item:01a7ef5782a1a6cbb5a1c39c5fed409857da0948bc7d51c986b3822ac6ca0990,item:4757dff2f6df6455d2f53c88d190810f65879d30e6ffaf4497741c56d267f611,TRUE
42472,paises/brasil/atletico/1995.htm#editorial:hx001:table-45:description-table-52,paises/brasil/atletico,camisas/brasil/atletico/10_09,camisas/brasil/atletico/03_16,item:9b50fe0d9fab5997ec9af8cc874ef6284d9bd888791cd4b3279ff175dbc4a8c4,item:5896cfc9091aeabf4b92f3e25322cc3ac4bc6e917d657566d8a4db24c2e630df,TRUE
42520,paises/brasil/atletico/2014.htm#editorial:hx001:table-55:description-table-64,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/03_16,item:20249e0713440fb07472dc34e0c41a32e598aa858ca6635ba73edc5137159cb4,item:51eb5a9bafccd11cf1a223565f84ae1af3697a900b955dc29e47595b7823ddff,TRUE
42522,paises/brasil/atletico/2014.htm#editorial:hx001:table-99:description-table-108,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/06_14,item:f6e232809eacefdb4a612d20305ca6692ca7eacc0ad8ccf0259614a111228d35,item:dc411fe9d514020280591c6a8600b380232620c32a590fbc0ed2786c603db1b6,TRUE
42524,paises/brasil/atletico/2014.htm#editorial:hx001:table-143:description-table-152,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/03_16,item:5e0023838683c3f1f71d4d8ff90be91b456f37df37ee8984eda325b4569550dd,item:eadd9fd6eaa3110bcae6082df4a8073da14482e93c1e8edae92090347d94c606,TRUE
42525,paises/brasil/atletico/2014.htm#editorial:hx001:table-165:description-table-174,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/06_14,item:e6eef1347ccf0dcc1f3b3ae8f4c69e70b650c7ad3bc2d00dfa81519d8c18eaf9,item:15de6cdfe376cbe235769be7343079209728ba9b2c821a3c23192c77fe7f015f,TRUE
42526,paises/brasil/atletico/2014.htm#editorial:hx001:table-187:description-table-196,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/08_14,item:419175ba00b4dae16a2fa4fa942e7cbb54980da3cf8b3bdeeeb8b4ef99fcc6c9,item:cec764bddd298bdd322c478eb3925d2e999a5e4f8e340405c35d00409e1e6fc2,TRUE
42528,paises/brasil/atletico/2014.htm#editorial:hx001:table-231:description-table-238,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/06_14,item:ea3f3bfcc4a34a6077f1aca1807d3464fba75552f8c3f10bc0d03e7818d7d893,item:5e6e271c0361deafb58b1e4887d3115fd386ca65e43907248dc1e76fed6d5d5b,TRUE
42530,paises/brasil/atletico/2014.htm#editorial:hx001:table-271:description-table-280,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/03_16,item:084844580cfe4bf7269af7508ad4f81d19b2071c9d8a9189835a8563daf65315,item:73d1cd16855ca9cae0cbb31f42d9caa972b73c3639828924fa5e946641a333ce,TRUE
42531,paises/brasil/atletico/2014.htm#editorial:hx001:table-293:description-table-302,paises/brasil/atletico,camisas/brasil/atletico/04_14,camisas/brasil/atletico/03_16,item:46f7678a7f0535918c8d721a85b5e75aac37ec2f56a4af0634ed8a877d934942,item:5221279546833603d2760498a5982d38ccb8a7d624fcff7112de3e933046e906,TRUE
