item_id,route_before,route_after_normalization,slug_before,slug_after_normalization,classification,team_correct,collection_correct,media_preserved,route_collision,applied,validated
42423,/items/brasil/teams/atletico/collections/10-12/1979-c542a1,/items/brasil/teams/atletico/collections/02-17/1979,1979-c542a1,1979,BOTH,1,1,1,0,TRUE,TRUE
42425,/items/brasil/teams/atletico/collections/10-12/1979-dd688f,/items/brasil/teams/atletico/collections/04-16/1979,1979-dd688f,1979,BOTH,1,1,1,0,TRUE,TRUE
42432,/items/brasil/teams/atletico/collections/10-12/1981-69a8ca,/items/brasil/teams/atletico/collections/03-16/1981,1981-69a8ca,1981,BOTH,1,1,1,0,TRUE,TRUE
42434,/items/brasil/teams/atletico/collections/10-12/1981-531786,/items/brasil/teams/atletico/collections/01-20/1981,1981-531786,1981,BOTH,1,1,1,0,TRUE,TRUE
42439,/items/brasil/teams/atletico/collections/10-12/1981-f17278,/items/brasil/teams/atletico/collections/03-16/1981-0716a3,1981-f17278,1981-0716a3,BOTH,1,1,1,0,TRUE,TRUE
42443,/items/brasil/teams/atletico/collections/11-21-2/1982-c97b2e,/items/brasil/teams/atletico/collections/11-17/1982,1982-c97b2e,1982,BOTH,1,1,1,0,TRUE,TRUE
42444,/items/brasil/teams/atletico/collections/11-21-2/1982-1e302c,/items/brasil/teams/atletico/collections/11-17/1982-79f269,1982-1e302c,1982-79f269,BOTH,1,1,1,0,TRUE,TRUE
42445,/items/brasil/teams/atletico/collections/11-21-2/1982-6c0060,/items/brasil/teams/atletico/collections/03-16/1982,1982-6c0060,1982,BOTH,1,1,1,0,TRUE,TRUE
42454,/items/brasil/teams/atletico/collections/05-15/1987-47591c,/items/brasil/teams/atletico/collections/03-16/1987,1987-47591c,1987,BOTH,1,1,1,0,TRUE,TRUE
42455,/items/brasil/teams/atletico/collections/05-15/1987-723304,/items/brasil/teams/atletico/collections/03-16/1987-7192e7,1987-723304,1987-7192e7,BOTH,1,1,1,0,TRUE,TRUE
42469,/items/brasil/teams/atletico/collections/10-09/1994-5865f0,/items/brasil/teams/atletico/collections/07-13/1994,1994-5865f0,1994,BOTH,1,1,1,0,TRUE,TRUE
42472,/items/brasil/teams/atletico/collections/10-09/1995-e-1996-4278c5,/items/brasil/teams/atletico/collections/03-16/1995-e-1996,1995-e-1996-4278c5,1995-e-1996,BOTH,1,1,1,0,TRUE,TRUE
42520,/items/brasil/teams/atletico/collections/04-14/2014-fd5248,/items/brasil/teams/atletico/collections/03-16/2014,2014-fd5248,2014,BOTH,1,1,1,0,TRUE,TRUE
42522,/items/brasil/teams/atletico/collections/04-14/2014-003537,/items/brasil/teams/atletico/collections/06-14/2014,2014-003537,2014,BOTH,1,1,1,0,TRUE,TRUE
42524,/items/brasil/teams/atletico/collections/04-14/2014-b263b8,/items/brasil/teams/atletico/collections/03-16/2014-74f940,2014-b263b8,2014-74f940,BOTH,1,1,1,0,TRUE,TRUE
42525,/items/brasil/teams/atletico/collections/04-14/2014-79a42a,/items/brasil/teams/atletico/collections/06-14/2014-820d07,2014-79a42a,2014-820d07,BOTH,1,1,1,0,TRUE,TRUE
42526,/items/brasil/teams/atletico/collections/04-14/2014-bae201,/items/brasil/teams/atletico/collections/08-14/2014,2014-bae201,2014,BOTH,1,1,1,0,TRUE,TRUE
42528,/items/brasil/teams/atletico/collections/04-14/2014-5bfc83,/items/brasil/teams/atletico/collections/06-14/2014-98a9a2,2014-5bfc83,2014-98a9a2,BOTH,1,1,1,0,TRUE,TRUE
42530,/items/brasil/teams/atletico/collections/04-14/2014-2a2df2,/items/brasil/teams/atletico/collections/03-16/2014-d92f0b,2014-2a2df2,2014-d92f0b,BOTH,1,1,1,0,TRUE,TRUE
42531,/items/brasil/teams/atletico/collections/04-14/2014-25f2c4,/items/brasil/teams/atletico/collections/03-16/2014-47ed64,2014-25f2c4,2014-47ed64,BOTH,1,1,1,0,TRUE,TRUE
42532,/items/brasil/teams/atletico/collections/04-14/2014-3b511e,/items/brasil/teams/atletico/collections/08-14-2/2014,2014-3b511e,2014,BOTH,1,1,1,0,TRUE,TRUE
42537,/items/brasil/teams/atletico/collections/04-15/2015-993a9a,/items/brasil/teams/atletico/collections/03-16/2015,2015-993a9a,2015,BOTH,1,1,1,0,TRUE,TRUE
42538,/items/brasil/teams/atletico/collections/04-15/2015-d607e7,/items/brasil/teams/atletico/collections/03-16/2015-c58b90,2015-d607e7,2015-c58b90,BOTH,1,1,1,0,TRUE,TRUE
42539,/items/brasil/teams/atletico/collections/04-15/2015-25bda4,/items/brasil/teams/atletico/collections/03-16/2015-8b9711,2015-25bda4,2015-8b9711,BOTH,1,1,1,0,TRUE,TRUE
42540,/items/brasil/teams/atletico/collections/04-15/2015-a32173,/items/brasil/teams/atletico/collections/03-16/2015-61bd9b,2015-a32173,2015-61bd9b,BOTH,1,1,1,0,TRUE,TRUE
42541,/items/brasil/teams/atletico/collections/04-15/2015-a7139b,/items/brasil/teams/atletico/collections/03-16/2015-aaf7a6,2015-a7139b,2015-aaf7a6,BOTH,1,1,1,0,TRUE,TRUE
42542,/items/brasil/teams/atletico/collections/04-15/2015-3702bf,/items/brasil/teams/atletico/collections/06-16/2015,2015-3702bf,2015,BOTH,1,1,1,0,TRUE,TRUE
42543,/items/brasil/teams/atletico/collections/04-15/2015-02bc13,/items/brasil/teams/atletico/collections/06-16/2015-faa1bf,2015-02bc13,2015-faa1bf,BOTH,1,1,1,0,TRUE,TRUE
42544,/items/brasil/teams/atletico/collections/04-15/2015-9a7da0,/items/brasil/teams/atletico/collections/06-16/2015-5054d0,2015-9a7da0,2015-5054d0,BOTH,1,1,1,0,TRUE,TRUE
42547,/items/brasil/teams/atletico/collections/04-15/2015-9d5d99,/items/brasil/teams/atletico/collections/03-16/2015-f3a825,2015-9d5d99,2015-f3a825,BOTH,1,1,1,0,TRUE,TRUE
42548,/items/brasil/teams/atletico/collections/04-15/2015-61d854,/items/brasil/teams/atletico/collections/03-16/2015-71e69a,2015-61d854,2015-71e69a,BOTH,1,1,1,0,TRUE,TRUE
42549,/items/brasil/teams/atletico/collections/04-15/2015-41c4c9,/items/brasil/teams/atletico/collections/03-16/2015-74fcd5,2015-41c4c9,2015-74fcd5,BOTH,1,1,1,0,TRUE,TRUE
42550,/items/brasil/teams/atletico/collections/04-15/2015-25b390,/items/brasil/teams/atletico/collections/03-16/2015-9eedc0,2015-25b390,2015-9eedc0,BOTH,1,1,1,0,TRUE,TRUE
