collection,before,after,item_count
camisas/brasil/atletico/01_18,0,1,1
camisas/brasil/atletico/01_19,0,2,2
camisas/brasil/atletico/01_20,0,9,9
camisas/brasil/atletico/02_17,0,1,1
camisas/brasil/atletico/02_22,0,5,5
camisas/brasil/atletico/02_25,0,2,2
camisas/brasil/atletico/03_16,0,23,23
camisas/brasil/atletico/03_19,0,4,4
camisas/brasil/atletico/03_20,0,6,6
camisas/brasil/atletico/03_23,0,8,8
camisas/brasil/atletico/03_25,0,18,18
camisas/brasil/atletico/04_16,0,4,4
camisas/brasil/atletico/04_20,0,3,3
camisas/brasil/atletico/05_24,0,6,6
camisas/brasil/atletico/06_14,0,3,3
camisas/brasil/atletico/06_16,0,3,3
camisas/brasil/atletico/07_13,0,1,1
camisas/brasil/atletico/07_22,0,4,4
camisas/brasil/atletico/07_25_2,0,1,1
camisas/brasil/atletico/08_14,0,1,1
camisas/brasil/atletico/08_14_2,0,1,1
camisas/brasil/atletico/08_18,0,6,6
camisas/brasil/atletico/08_23,0,18,18
camisas/brasil/atletico/09_18,0,2,2
camisas/brasil/atletico/09_24_2,0,7,7
camisas/brasil/atletico/10_18,0,3,3
camisas/brasil/atletico/10_19,0,2,2
camisas/brasil/atletico/11_17,0,7,7
camisas/brasil/atletico/11_22,0,1,1
camisas/brasil/atleticop/11_21,0,1,1
camisas/brasil/botafogo/01_18,0,1,1
camisas/brasil/botafogo/03_19,0,1,1
camisas/brasil/botafogo/11_21,0,1,1
camisas/brasil/chapecoense/01_20,0,1,1
camisas/brasil/corinthians/01_16,0,3,3
camisas/brasil/corinthians/01_18,0,4,4
camisas/brasil/corinthians/01_20,0,11,11
camisas/brasil/corinthians/02_17,0,1,1
camisas/brasil/corinthians/03_15,0,1,1
camisas/brasil/corinthians/03_16,0,2,2
camisas/brasil/corinthians/03_20,0,2,2
camisas/brasil/corinthians/04_16,0,2,2
camisas/brasil/corinthians/05_15,0,1,1
camisas/brasil/corinthians/06_16,0,3,3
camisas/brasil/corinthians/07_18,0,3,3
camisas/brasil/corinthians/08_17,0,1,1
camisas/brasil/corinthians/08_18,0,1,1
