CaminhoRelativo,Motivo,TamanhoBytes
aspnet_client/temp.tmp,known-system-file,0
br/-ul.doc.asp,technical-root,33
br/temp.tmp,known-system-file,0
br/pt_BR/Additional Plug-Ins/Win/Filters/Variations.8BF,technical-root,64512
br/pt_BR/Additional Presets/Win/Menu Customization/Basic.mnu,technical-root,2591
br/pt_BR/Additional Presets/Win/Menu Customization/What's New in CS4.mnu,technical-root,2304
br/pt_BR/Additional Presets/Win/Workspaces/1-Basic Workspaces/Glaucio Cajuela,technical-root,130033
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Advanced 3D,technical-root,131125
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Analysis,technical-root,131129
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Automation,technical-root,131053
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Color and Tone,technical-root,131057
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Painting,technical-root,131053
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Proofing,technical-root,131129
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Typography,technical-root,131125
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Video,technical-root,131105
br/pt_BR/Additional Presets/Win/Workspaces/2-Task-based Workspaces/Web,technical-root,51712
br/pt_BR/Help/howto.dat,technical-root,11380
br/pt_BR/Support Files/Default New Doc Sizes.txt,technical-root,21480
br/pt_BR/Support Files/pack.inf,technical-root,116
br/pt_BR/Support Files/tw10428.dat,technical-root,55808
br/pt_BR/Support Files/Shortcuts/Win/Default Keyboard Shortcuts.kys,technical-root,3073
br/pt_BR/Support Files/Shortcuts/Win/OS Shortcuts.txt,technical-root,79
camisas/temp.tmp,known-system-file,0
camisas/bandeiras/Thumbs.db,known-system-file,7680
camisas/brasil/atletico/04_15/Thumbs.db,known-system-file,375808
camisas/brasil/atletico/05_15/Thumbs.db,known-system-file,177152
camisas/brasil/atleticop/Thumbs.db,known-system-file,17920
camisas/brasil/botafogo/2006/Thumbs.db,known-system-file,23040
camisas/brasil/corinthians/04_15/Thumbs.db,known-system-file,121856
camisas/brasil/corinthians/05_15/Thumbs.db,known-system-file,37888
camisas/brasil/cruzeiro/04_15/Thumbs.db,known-system-file,71680
